Organization 1,Organization 2,Distance
O90841,O24837,52
O47108,O84195,13
O57470,O12826,46
O77849,O78110,25
O89380,O62437,67
O72623,O23818,88
O51175,O39682,8
O30515,O72455,19
O29904,O5007,8
O51195,O79008,64
O83360,O18053,59
O41294,O19476,65
O70414,O12633,14
O28414,O48115,73
O9759,O78157,64
O41855,O14961,86
O1554,O83098,36
O21137,O89366,10
O5566,O94392,29
O92773,O32714,27
O33058,O81647,80
O45468,O48292,78
O41655,O33756,69
O3554,O37729,12
O71378,O21734,99
O87311,O76106,60
O86465,O74640,67
O84173,O53086,1
O90973,O11411,35
O24832,O76428,42
O56575,O8960,59
O3414,O32464,10
O55753,O1230,92
O54384,O2621,1
O92627,O65138,60
O14927,O44873,67
O37139,O5458,5
O25625,O56606,82
O10143,O24967,18
O59176,O74542,91
O86789,O63516,91
O37428,O72122,41
O25465,O18501,39
O9803,O35068,53
O77754,O89666,56
O93014,O144,39
O24068,O24171,93
O62428,O13275,24
O96972,O2438,47
O51497,O16966,73
O97539,O30382,51
O46818,O69310,64
O96329,O66561,13
O75097,O43863,54
O30068,O91814,84
O61577,O55946,87
O16580,O17472,82
O93103,O47657,70
O55357,O86636,85
O8114,O66101,57
O78476,O63881,42
O62551,O32683,69
O62355,O72330,11
O25398,O33337,15
O53497,O34350,3
O25607,O88877,12
O64067,O94102,24
O18196,O84747,20
O29031,O33479,49
O58107,O78205,98
O83050,O74431,14
O59930,O76768,24
O8102,O21010,98
O29333,O17482,66
O23767,O14283,94
O63665,O55683,70
O77044,O85797,85
O13786,O79556,40
O64875,O93201,30
O14560,O83401,6
O69681,O43485,72
O20001,O76248,29
O75149,O8386,27
O70087,O74574,16
O56889,O83981,44
O22042,O86879,66
O39008,O81989,89
O19432,O53896,66
O62372,O73940,91
O3260,O59489,1
O27994,O96455,54
O22686,O71135,24
O87016,O23359,51
O82788,O81228,24
O70096,O2834,70
O48914,O46960,73
O66979,O59931,58
O96055,O65258,97
O71354,O77193,71
O8231,O24728,12
O73395,O27784,1
O79698,O25855,90
O69007,O42057,13
O99736,O23525,4
O76928,O69934,86
O24188,O94862,81
O28642,O68281,38
O40984,O72650,10
O47658,O50177,61
O55463,O35104,4
O61087,O73815,71
O18785,O94190,38
O23600,O67967,19
O48362,O51790,43
O7231,O72064,35
O99170,O20415,60
O48991,O21405,66
O36885,O84376,24
O18578,O36409,63
O18709,O85726,6
O51905,O77868,63
O84037,O17476,2
O50774,O12881,29
O76371,O29513,86
O47493,O73201,89
O98043,O36621,16
O4024,O82130,39
O24266,O2103,17
O60406,O90821,74
O23928,O58135,9
O37859,O89125,6
O23128,O78251,15
O4499,O89642,79
O37860,O68666,69
O79198,O15547,7
O49690,O47199,27
O81530,O3800,22
O34259,O6520,6
O26897,O23419,13
O98590,O41100,81
O80164,O55974,46
O25752,O71852,23
O63290,O71112,16
O56407,O11394,11
O65101,O33478,24
O44123,O25226,26
O31109,O81180,68
O63386,O39991,90
O39493,O70492,43
O76829,O41948,2
O42787,O20107,50
O75854,O82588,58
O41007,O28329,40
O1569,O29148,61
O86684,O72804,32
O90434,O10319,1
O40950,O73248,89
O69565,O25868,74
O36967,O99225,30
O28368,O39157,27
O31046,O16010,30
O43521,O26064,80
O73841,O14817,29
O89865,O83816,55
O86021,O28765,26
O29490,O38147,64
O73371,O89844,67
O5740,O17171,92
O5067,O41866,13
O81270,O29072,71
O95292,O87987,77
O65236,O26001,74
O81794,O10859,91
O55888,O97713,61
O68001,O91818,97
O2356,O64795,70
O67105,O42196,2
O7829,O54573,77
O36131,O62871,7
O25075,O53641,75
O22052,O18409,86
O23888,O17024,1
O61160,O4958,80
O36110,O36930,50
O8606,O74094,22
O86095,O78585,97
O75529,O22386,29
O47039,O76712,62
O17560,O67832,30
O31105,O22060,29
O99266,O55585,77
O67173,O56352,51
O68844,O65433,79
O65892,O64585,22
O36723,O29189,38
O87974,O63866,74
O14705,O9049,87
O15357,O79406,53
O81952,O16394,91
O74622,O76846,6
O82529,O68509,92
O88754,O19602,100
O52135,O7534,13
O16461,O14126,47
O37604,O82334,24
O41404,O27978,92
O17701,O66813,89
O80280,O49568,96
O31998,O80255,44
O96131,O46675,53
O58678,O91594,72
O76541,O57088,96
O72284,O11678,29
O49387,O58178,39
O8642,O84325,59
O27095,O16544,83
O61459,O22689,82
O99016,O53737,70
O74606,O4576,70
O34496,O59948,77
O69416,O4091,24
O62642,O75733,27
O78508,O3690,46
O25594,O71401,50
O68595,O67284,45
O97050,O81909,84
O8299,O30533,85
O5728,O62287,42
O57335,O81859,47
O54270,O56114,47
O63096,O66624,84
O20798,O87086,18
O33464,O13434,75
O23352,O33651,59
O4844,O13753,86
O38025,O69873,34
O12696,O42109,83
O25746,O11655,37
O26738,O1421,72
O90144,O87921,15
O39400,O47247,67
O29707,O45754,15
O16104,O13158,7
O35074,O75615,7
O18594,O47162,75
O87027,O68920,23
O12665,O16744,55
O77775,O61481,51
O54519,O43048,88
O32761,O81904,97
O43262,O65704,31
O52593,O48374,4
O79165,O62206,55
O26385,O77515,50
O35947,O68765,79
O57036,O47246,85
O27235,O63214,91
O31800,O22127,44
O93058,O60246,13
O26473,O18134,66
O72315,O70727,1
O38955,O41284,42
O77920,O38719,86
O49934,O94768,43
O56001,O52990,66
O19628,O87976,60
O49228,O89507,55
O51472,O49187,47
O31079,O79240,8
O24461,O62645,96
O39663,O5292,83
O70660,O57454,41
O72185,O99577,22
O49432,O21855,21
O56380,O6987,7
O87615,O28893,37
O53996,O21763,87
O65901,O92200,99
O29252,O13167,10
O24943,O35165,24
O45234,O43166,29
O90685,O30354,41
O10727,O17403,42
O87136,O19975,55
O35517,O41054,3
O34318,O47134,3
O7471,O59978,97
O57480,O48545,85
O8651,O83197,28
O45140,O51396,95
O47772,O51884,93
O72316,O37798,3
O89401,O73529,77
O79533,O7778,10
O61549,O94171,86
O70157,O7434,32
O98385,O74545,47
O10764,O36779,45
O79840,O34072,1
O30865,O77084,29
O52196,O90521,1
O85079,O29592,5
O12150,O55316,95
O51117,O33866,27
O17502,O40757,41
O5096,O56961,30
O91509,O72716,11
O5803,O59573,54
O1561,O62669,33
O91686,O25333,85
O7966,O12879,20
O450,O64776,69
O18843,O99000,9
O2937,O66420,57
O27032,O47398,82
O16686,O21891,42
O28691,O63816,3
O8450,O49118,5
O72541,O12520,21
O24144,O3769,22
O58124,O80355,73
O31080,O33788,70
O40312,O91872,41
O2599,O67478,15
O10509,O8776,80
O77707,O59190,57
O79812,O28227,38
O47,O89318,11
O71988,O11244,79
O880,O86595,15
O23812,O92629,18
O58007,O78466,2
O66868,O72248,23
O76415,O71156,35
O55176,O51179,20
O71678,O82742,98
O19667,O76824,40
O55197,O55588,32
O53560,O56472,79
O88343,O5018,65
O37250,O5888,39
O63873,O54305,57
O4745,O26373,98
O95427,O33083,89
O72382,O34578,72
O646,O35443,21
O28424,O74500,48
O91624,O18356,62
O87235,O70937,31
O91461,O68467,45
O19277,O76166,7
O45096,O64515,16
O48900,O70168,46
O16983,O35116,94
O88242,O5153,38
O14502,O25033,36
O80452,O92164,99
O71472,O25538,41
O58801,O77690,35
O48621,O41917,21
O25583,O68167,90
O56203,O89465,82
O81801,O31310,65
O19205,O26298,61
O95298,O31233,65
O53530,O85203,25
O34578,O59536,63
O76184,O4773,93
O29475,O85746,72
O76434,O70894,96
O25341,O31882,8
O9837,O9220,66
O50965,O18988,73
O62744,O36906,65
O52521,O18142,45
O46948,O78463,18
O5059,O70799,70
O19579,O34039,3
O27231,O39677,45
O55360,O79089,18
O55583,O80497,62
O12333,O23653,2
O42234,O77868,8
O99247,O75808,30
O94818,O78136,8
O72548,O27903,64
O53158,O49018,82
O93394,O38699,9
O86195,O97846,61
O97144,O48198,41
O5113,O91217,96
O68207,O62129,25
O78316,O68223,43
O30857,O15415,80
O54157,O77001,75
O31987,O8807,8
O60710,O18633,79
O66349,O34360,75
O15178,O79073,15
O56021,O90901,83
O79571,O77948,74
O16294,O64737,49
O79363,O90756,1
O68127,O366,69
O92838,O40597,53
O80861,O31023,13
O7433,O82819,47
O27122,O45941,5
O72450,O53230,34
O42669,O39892,83
O1309,O83282,83
O61412,O23458,4
O97145,O40728,48
O78795,O62244,5
O67925,O47528,49
O7362,O84155,10
O18064,O35405,39
O89598,O98391,54
O47212,O62239,94
O38459,O33584,84
O93777,O45082,79
O58968,O71128,44
O93602,O5344,83
O30402,O64709,95
O13583,O82089,67
O56592,O63121,7
O68172,O39254,26
O81904,O32896,12
O34330,O64854,94
O11114,O92943,43
O86231,O72997,51
O76884,O52409,34
O28900,O42611,48
O58973,O64411,26
O90080,O38996,99
O17714,O78709,70
O66747,O25387,30
O95152,O83029,23
O69455,O21594,48
O64417,O92375,44
O48240,O12507,62
O5339,O94165,99
O74553,O93048,33
O45269,O82426,10
O73200,O81442,25
O82454,O51424,87
O33876,O51006,57
O38827,O47884,83
O75460,O5302,50
O51905,O31044,72
O65763,O98685,70
O14890,O85910,87
O94674,O62683,14
O47084,O93055,56
O18135,O34610,36
O17295,O21567,7
O54940,O37557,65
O400,O32793,100
O31084,O53843,8
O6687,O87750,12
O26340,O3266,91
O12855,O44646,14
O40659,O42585,50
O83429,O22313,86
O97495,O80957,88
O51205,O56034,89
O85246,O58451,29
O19801,O98549,60
O14679,O70753,47
O96734,O48560,42
O14390,O23051,43
O65412,O3989,80
O53850,O75994,80
O60802,O79047,8
O39496,O42218,95
O69757,O90159,83
O86829,O75396,42
O80327,O25854,98
O86331,O38667,9
O99644,O29596,6
O61723,O85999,8
O91923,O68853,90
O76860,O10293,64
O29246,O4892,90
O96832,O5950,8
O72230,O34413,85
O5440,O9061,33
O28271,O31539,37
O26593,O60568,64
O61530,O90531,59
O73125,O67271,47
O72362,O28061,35
O92065,O70265,64
O69502,O64691,18
O45450,O75200,86
O69776,O55759,44
O41203,O96928,71
O60279,O39456,60
O19400,O79836,15
O583,O62679,64
O13549,O64267,58
O77455,O6908,29
O14460,O23870,62
O68694,O89925,62
O52373,O73221,65
O83015,O37462,96
O58911,O56348,93
O71905,O8693,65
O56005,O33531,60
O70781,O12331,65
O72108,O55357,65
O84040,O82967,70
O96457,O57152,33
O10424,O73589,29
O52707,O4830,26
O47744,O63272,46
O23171,O75200,44
O95173,O51066,27
O29697,O29963,79
O78483,O59408,28
O94883,O24606,96
O25373,O34245,15
O45898,O28256,78
O31488,O52700,19
O70054,O27064,63
O92405,O30403,71
O13906,O92231,24
O64018,O12690,76
O94972,O17037,34
O24935,O62357,79
O83378,O77463,46
O27351,O41676,96
O48913,O49004,47
O94682,O61095,97
O51048,O53938,48
O16098,O92577,82
O74900,O9774,61
O10334,O10122,26
O12851,O95010,48
O95369,O32066,51
O95740,O51331,56
O85145,O10856,68
O70306,O79480,48
O14072,O66540,92
O29556,O80741,52
O65742,O86551,29
O72667,O59494,44
O77886,O19497,57
O58017,O83219,74
O24410,O9944,37
O26510,O91227,90
O34432,O31695,4
O79194,O70059,87
O99142,O8540,12
O23979,O19647,98
O53113,O92590,71
O32148,O39469,76
O79910,O65125,60
O83297,O92620,89
O23482,O99789,75
O63246,O72936,31
O79004,O25965,19
O10281,O6478,84
O58439,O46832,28
O55140,O356,79
O6213,O86489,17
O59973,O72956,62
O80721,O84078,37
O57793,O44392,38
O93560,O69744,6
O65522,O1072,83
O65811,O87873,62
O81177,O71671,80
O12706,O50007,13
O64198,O97586,2
O86146,O33379,55
O98683,O71249,59
O42950,O76392,95
O6652,O28199,94
O7256,O19728,41
O79494,O58368,90
O66130,O64899,30
O1487,O46829,63
O66269,O87414,10
O88496,O81248,24
O96328,O96370,90
O2008,O65637,7
O56649,O96001,2
O88207,O96850,19
O76461,O36080,30
O14516,O77190,32
O35442,O73716,26
O66042,O22570,27
O28781,O14002,3
O33073,O77393,61
O92663,O41456,96
O32759,O63745,74
O21571,O55145,81
O51243,O93000,57
O20957,O52071,6
O98700,O91620,86
O54124,O56543,35
O12150,O3264,2
O27420,O44445,9
O53827,O6832,37
O52581,O85626,69
O6968,O34367,35
O980,O2309,2
O48300,O8467,62
O11111,O5806,51
O8658,O41915,11
O19501,O29354,56
O79225,O46024,47
O84644,O96558,95
O1042,O26883,19
O72093,O72979,92
O46813,O30896,41
O84083,O45486,46
O87596,O26968,49
O74415,O4772,25
O41243,O9360,12
O81183,O86247,90
O60892,O44117,13
O73203,O99826,55
O10288,O46996,43
O76921,O60075,9
O85720,O79418,24
O60361,O77598,74
O13520,O77354,82
O38709,O71133,86
O59920,O29973,67
O9999,O61254,90
O7427,O73951,76
O88410,O4136,43
O80411,O52671,39
O95881,O3956,36
O7597,O44708,5
O19532,O47815,80
O39657,O50882,85
O27785,O95066,12
O74774,O60969,61
O76828,O31663,3
O66712,O28597,71
O37645,O61698,21
O48088,O96251,82
O4247,O56349,75
O78128,O38625,53
O48121,O31624,16
O8029,O14561,31
O2094,O25446,8
O32616,O95083,23
O58887,O81424,67
O75689,O91264,42
O5859,O79509,77
O11861,O59066,29
O84741,O53860,49
O64005,O40774,5
O13370,O81939,10
O34003,O98555,97
O32860,O5825,79
O38210,O59073,12
O3195,O97842,41
O21947,O25311,76
O23142,O47778,66
O77251,O18492,80
O35430,O87688,50
O66643,O43454,4
O10455,O62989,98
O41138,O27693,88
O96836,O83749,26
O78580,O81771,21
O58905,O40951,73
O12775,O87694,2
O6483,O87225,91
O83988,O63254,28
O35850,O58306,48
O73601,O47849,41
O67687,O82321,3
O91300,O10884,60
O38885,O18401,99
O43111,O32625,90
O51778,O21775,72
O32633,O30960,70
O49710,O16999,17
O17409,O75453,89
O1642,O96507,54
O17693,O11458,2
O85964,O64069,59
O47231,O34724,87
O95950,O20836,13
O88166,O54468,58
O14668,O71710,78
O95078,O51948,41
O89750,O82495,69
O76976,O62070,17
O7455,O95230,92
O41760,O55420,36
O90120,O52370,98
O63397,O68022,2
O44230,O33897,40
O83966,O59967,80
O54663,O86470,55
O94003,O70056,27
O75361,O15473,47
O83519,O29063,69
O15860,O37836,26
O90684,O32697,100
O73896,O82907,84
O77207,O19489,50
O82559,O64289,4
O75631,O3324,66
O52333,O36221,87
O35387,O61287,6
O30617,O43705,18
O24998,O25153,81
O10476,O92890,81
O54505,O4783,66
O38909,O89582,61
O53258,O19205,20
O94763,O46372,61
O15977,O22020,3
O59819,O2761,4
O18278,O56080,69
O53596,O77299,85
O95389,O88450,35
O21095,O67901,41
O30760,O2826,56
O98660,O33977,54
O32088,O3886,13
O26369,O10876,24
O24828,O24263,45
O45107,O15901,69
O69012,O59704,10
O71708,O68743,56
O48406,O78145,73
O42766,O57020,82
O80862,O65542,74
O76422,O26303,98
O90287,O4456,9
O38756,O4725,89
O36396,O49754,53
O65376,O32069,21
O62509,O30800,8
O32848,O87481,45
O95202,O26647,70
O22038,O97592,26
O51515,O4853,89
O71656,O57589,23
O11784,O80716,55
O90763,O14614,22
O77010,O46663,27
O70719,O21494,55
O16057,O87714,26
O117,O40316,40
O24069,O7644,48
O11201,O47140,18
O90416,O21546,56
O60809,O16986,24
O57836,O48221,46
O52919,O83544,88
O21752,O41217,67
O52423,O43075,99
O4778,O85923,60
O64284,O89692,59
O36988,O34009,82
O72195,O281,75
O41495,O45973,40
O57733,O97099,40
O49264,O14724,69
O15385,O11724,63
O84421,O39069,44
O25356,O48803,66
O98040,O71365,72
O72580,O79680,6
O44661,O42935,9
O97054,O19588,90
O11350,O59336,29
O42260,O40936,9
O64192,O71653,70
O36711,O39020,16
O38973,O34634,71
O88316,O38249,65
O40822,O81819,20
O23913,O6181,86
O92421,O88096,58
O52959,O27561,89
O33512,O61856,15
O56614,O36045,85
O56812,O64185,86
O66647,O67674,78
O32203,O70781,40
O37308,O78540,46
O54762,O76628,71
O58934,O28365,96
O33487,O89844,25
O14760,O90644,55
O47330,O71452,78
O25827,O62197,9
O32770,O45637,29
O27339,O8959,92
O1810,O80770,52
O97355,O88492,20
O29016,O37807,100
O16828,O5821,27
O83645,O19644,32
O61854,O9975,8
O16241,O44186,42
O84845,O51236,76
O77408,O13896,63
O48564,O96700,97
O43300,O73274,18
O37329,O87687,74
O77490,O12251,26
O77229,O87201,100
O11855,O21055,83
O49749,O67077,57
O83471,O60131,34
O38355,O4569,74
O59382,O66979,32
O11151,O28581,61
O65956,O90954,36
O46020,O25754,95
O41455,O39726,2
O63085,O18680,66
O21914,O46329,33
O86822,O85899,76
O32792,O47521,71
O22594,O62222,25
O83102,O4073,100
O37608,O2486,97
O83524,O76456,77
O89738,O97023,25
O42304,O83294,8
O32027,O84565,33
O91258,O468,55
O81130,O72608,86
O19260,O51411,49
O12011,O92010,77
O49144,O32386,92
O41927,O95922,93
O15337,O47523,27
O12198,O59027,19
O62380,O23933,15
O2545,O43328,74
O39835,O70329,27
O10498,O55014,87
O9620,O58685,47
O25260,O86280,74
O17898,O19082,41
O85834,O69228,50
O18178,O89848,10
O44711,O29056,92
O52862,O86723,38
O99063,O48266,51
O99021,O59496,94
O37771,O35934,21
O20799,O47948,71
O16099,O93809,10
O60153,O26424,29
O18460,O46731,29
O65534,O64760,39
O81796,O36012,81
O67853,O80198,12
O13834,O66984,15
O2666,O5162,94
O15124,O53133,75
O77303,O9887,69
O27482,O80888,13
O43443,O91617,84
O73465,O70134,41
O85425,O91794,80
O94282,O22291,23
O77296,O59852,39
O31738,O86196,34
O87138,O25531,4
O49806,O22524,94
O89345,O71867,50
O6737,O83034,88
O55668,O42259,32
O20581,O10547,81
O36697,O96726,8
O90241,O59280,87
O7435,O52138,83
O25966,O33551,32
O54354,O65647,32
O45985,O87717,83
O77593,O27558,93
O6939,O67912,45
O7488,O94527,84
O21345,O87207,91
O78717,O37905,16
O75287,O48690,58
O95677,O46503,17
O63658,O56364,77
O40637,O93211,81
O96955,O66590,62
O56520,O85832,4
O77131,O89020,54
O20552,O23016,76
O11281,O45869,33
O34629,O14608,73
O87494,O77315,83
O33848,O36851,50
O63027,O59064,46
O82131,O62519,53
O23177,O24290,10
O170,O91421,60
O86865,O66255,82
O45743,O63726,71
O2332,O66016,13
O58198,O73664,99
O44391,O84145,14
O421,O8380,70
O27026,O28988,38
O92647,O32935,24
O18600,O15864,40
O87626,O26796,18
O7744,O708,59
O30658,O86442,42
O94961,O87769,86
O95507,O84748,10
O13702,O1020,48
O49829,O35006,18
O20582,O16520,5
O71505,O52908,41
O45185,O52316,83
O50894,O75464,88
O84100,O79056,21
O26540,O79954,8
O63494,O25172,35
O61894,O70052,3
O93733,O62852,71
O74636,O46112,37
O93274,O27266,69
O62365,O83089,66
O48209,O65533,88
O58684,O78115,65
O83475,O50487,91
O42829,O68090,61
O73581,O68208,83
O27162,O59980,9
O37978,O58883,35
O61104,O24305,72
O25060,O64669,59
O85556,O44650,14
O6125,O49745,43
O14482,O55350,95
O85789,O81711,14
O45981,O31294,62
O24629,O54410,20
O27927,O78667,10
O51799,O50126,51
O48886,O50495,5
O36394,O16870,13
O62743,O8871,41
O60870,O25267,18
O15816,O90457,16
O29445,O51692,51
O86719,O76761,32
O3895,O91201,49
O90353,O56251,74
O87074,O26960,93
O23298,O20401,25
O48358,O33643,79
O18319,O54410,58
O64974,O16716,74
O92270,O37945,49
O48277,O13143,79
O55469,O90989,13
O62309,O58965,96
O40092,O81678,60
O54923,O86710,82
O75943,O26810,9
O3855,O4710,15
O55294,O82014,35
O18618,O37828,36
O13008,O97439,58
O23497,O79135,61
O38500,O65666,23
O29658,O71034,2
O76301,O57519,36
O59160,O76252,18
O62419,O69469,19
O64526,O71495,72
O34117,O29623,49
O22531,O74947,83
O91220,O48051,70
O84539,O64233,81
O20285,O2070,92
O5006,O71227,28
O1686,O46143,31
O73589,O31025,52
O37436,O71095,2
O93740,O24736,11
O39136,O7925,12
O33332,O86351,17
O1340,O56183,52
O73461,O73241,10
O60830,O88574,57
O44089,O31342,34
O13819,O77404,25
O66103,O18891,89
O34155,O37923,7
O46530,O62327,20
O27425,O14979,76
O42761,O6344,77
O58645,O90790,64
O30008,O92691,68
O36402,O54223,98
O71757,O31376,25
O66823,O13776,46
O95355,O51292,28
O96066,O71115,44
O7160,O23894,79
O83539,O29209,22
O54210,O69218,86
O69985,O70702,27
O95059,O99769,52
O62020,O3365,67
O74439,O1538,28
O50346,O40234,9
O33950,O69482,27
O65236,O58157,60
O27388,O69756,87
O36639,O89899,64
O23271,O95675,41
O55018,O61546,71
O89783,O10607,22
O87995,O97906,13
O52733,O92495,55
O77747,O45746,40
O60147,O39610,16
O66057,O5536,45
O59997,O22288,25
O2424,O81525,72
O42639,O42742,49
O76760,O3750,37
O68898,O2807,90
O86613,O92068,12
O78544,O34726,57
O17065,O30113,15
O7245,O68143,34
O61465,O11627,43
O20695,O63213,59
O23796,O29549,24
O8451,O6347,61
O47984,O95923,82
O32916,O90247,11
O20172,O27463,5
O38549,O54958,50
O95406,O75190,49
O14902,O25263,81
O95697,O47454,7
O67255,O20491,97
O69673,O3423,21
O1529,O66361,47
O98060,O23833,18
O86641,O14993,97
O76238,O16695,73
O30956,O10842,93
O61822,O59721,15
O44054,O29522,80
O40300,O18024,26
O50441,O22404,78
O45979,O13596,53
O18206,O29909,41
O39852,O54701,15
O81983,O19985,62
O9265,O40921,85
O44299,O52936,11
O31311,O93925,19
O84896,O8842,83
O72062,O92994,58
O73975,O60267,18
O69362,O86173,65
O55353,O94057,60
O83206,O59228,6
O45670,O91161,15
O83239,O80090,43
O2149,O60612,3
O29163,O54118,85
O23853,O55713,49
O90042,O94191,34
O93290,O69349,100
O54146,O20694,13
O80721,O18424,17
O30609,O18478,6
O84403,O30741,17
O14636,O11395,26
O29591,O33095,21
O5280,O39561,13
O2887,O32491,20
O5608,O46573,86
O92896,O64206,31
O72476,O75069,69
O44681,O75537,19
O86539,O81121,78
O21011,O24442,93
O51044,O27220,66
O98918,O90032,31
O22336,O4404,83
O85750,O30248,36
O67421,O25521,92
O66878,O87022,69
O73430,O93559,69
O59668,O16685,80
O79340,O93584,59
O99034,O2535,81
O96069,O32515,37
O64668,O6856,26
O98556,O86463,32
O31191,O45349,56
O17095,O60007,8
O49910,O64054,30
O99406,O13251,38
O38334,O28511,82
O97057,O35809,15
O50944,O42410,44
O65522,O5825,64
O99318,O16964,18
O2447,O96586,52
O64407,O94267,62
O24262,O15181,36
O29960,O81943,76
O84511,O47642,24
O25053,O71517,94
O92444,O46259,62
O23550,O10410,32
O88622,O56902,35
O83341,O24990,39
O23317,O90832,86
O41493,O25054,12
O9107,O25423,4
O57802,O40967,43
O40394,O56366,20
O52182,O9230,43
O92627,O14695,76
O1954,O4594,8
O72746,O55608,66
O26554,O28508,93
O37557,O13001,59
O44698,O76822,39
O73264,O9879,71
O78158,O95254,94
O6357,O12977,3
O68552,O46137,6
O28544,O68399,31
O8910,O81105,93
O62526,O96284,58
O11961,O56869,30
O81755,O11440,47
O55888,O89882,56
O40530,O71734,27
O96909,O6840,3
O33388,O92482,81
O945,O67826,8
O22749,O28676,22
O42038,O80389,63
O47297,O15355,69
O96701,O78663,79
O56197,O37657,13
O62696,O33164,93
O8816,O82277,66
O68319,O25214,70
O32924,O516,18
O98969,O30302,96
O14447,O72490,32
O22795,O65272,65
O79851,O40293,19
O74247,O63313,95
O34535,O46102,40
O8984,O20692,99
O59847,O34188,69
O99252,O51412,42
O93904,O16120,1
O99184,O53029,41
O14979,O59741,65
O54163,O77225,67
O58711,O4970,38
O44245,O1079,38
O61727,O64881,65
O42174,O85252,16
O71496,O86650,73
O48555,O3228,2
O51179,O64271,81
O86687,O76182,66
O52066,O24500,79
O49577,O45331,26
O29635,O6929,37
O45651,O57805,99
O47240,O41861,89
O51204,O12981,10
O58652,O81515,86
O21618,O22747,56
O92282,O44786,52
O67748,O27823,91
O89693,O72424,79
O82235,O95752,24
O94182,O44402,26
O34878,O13280,84
O23115,O35611,60
O31740,O2956,30
O57075,O22184,33
O23566,O7484,9
O27934,O93549,41
O20082,O16458,3
O85116,O35177,91
O15360,O40522,80
O49314,O72637,19
O51076,O67365,87
O85208,O15579,39
O57241,O71342,93
O46806,O82439,98
O14377,O36902,50
O96275,O83072,72
O34654,O55552,35
O83454,O2299,6
O68956,O55505,91
O18293,O49044,6
O56394,O86977,79
O93723,O33980,39
O2394,O76527,91
O8044,O93630,21
O96605,O21603,85
O11074,O82252,68
O15694,O32141,70
O81504,O96773,46
O11142,O29368,69
O57942,O83196,50
O31138,O10515,32
O33302,O10435,3
O20421,O79544,35
O83222,O32461,73
O83816,O72976,19
O20180,O88869,10
O18633,O40973,28
O9966,O71477,65
O70059,O25092,8
O60786,O7059,71
O12740,O28881,53
O78387,O94304,11
O52736,O18356,66
O40399,O42327,58
O41145,O81472,73
O30547,O58026,59
O42796,O48278,48
O53249,O25407,3
O96317,O39316,34
O27456,O21525,47
O35654,O47843,13
O64799,O91112,14
O88488,O12406,92
O86027,O5279,48
O84473,O3883,51
O95076,O86997,36
O68038,O60042,60
O21356,O90136,85
O53473,O7833,64
O44414,O34352,53
O59856,O22908,25
O74559,O76622,66
O28866,O4106,11
O10937,O40362,80
O92992,O38681,11
O22934,O1290,25
O46461,O92459,70
O3723,O62941,2
O37147,O14965,66
O41030,O10227,37
O82270,O73750,14
O36542,O55164,39
O36655,O7586,9
O55330,O91797,5
O1795,O17545,39
O32882,O96640,22
O69813,O52115,84
O5670,O54953,8
O13201,O20344,84
O87106,O32673,53
O69886,O6430,32
O28593,O17725,74
O72405,O52702,68
O9814,O55660,47
O43315,O91574,33
O91555,O17406,71
O64897,O57227,69
O60415,O24544,25
O83088,O974,46
O45411,O48972,71
O18238,O93723,32
O63831,O54632,55
O70686,O71135,53
O67983,O80136,12
O70247,O5524,62
O81720,O21655,33
O88796,O54011,77
O24775,O4046,15
O98112,O19759,38
O94523,O16454,38
O76630,O96685,52
O14899,O61552,68
O43050,O17340,49
O63141,O78864,23
O88742,O79570,83
O61101,O36611,88
O48355,O6156,32
O25058,O16835,30
O24895,O54029,37
O41210,O47305,100
O1939,O48212,75
O91774,O36749,82
O8172,O75858,77
O22012,O77990,69
O25683,O98922,47
O73745,O26346,99
O94494,O77896,81
O60452,O2400,45
O71006,O90482,89
O74864,O57214,79
O13184,O15578,90
O90376,O56005,56
O93958,O26536,30
O26597,O82992,53
O69265,O85965,43
O24341,O83032,70
O58537,O91170,97
O89138,O58912,97
O63118,O30552,80
O39528,O25758,35
O95921,O80988,37
O82871,O4998,63
O94634,O71864,51
O694,O14273,66
O17195,O29553,25
O21949,O43948,54
O89489,O51937,80
O17426,O9078,42
O7558,O64235,77
O25796,O15092,35
O76460,O860,99
O62891,O6476,88
O73375,O60278,47
O21957,O84831,7
O53572,O36597,50
O79275,O34639,53
O33317,O69722,13
O62178,O3191,68
O96681,O87855,97
O68398,O31693,22
O19229,O10383,18
O32231,O6225,13
O30916,O38714,35
O31504,O3231,80
O54259,O2174,70
O93870,O73231,80
O72755,O97006,44
O6134,O58012,15
O62423,O71650,40
O82289,O2172,84
O47273,O12463,98
O8836,O72021,76
O4680,O36038,68
O83246,O49493,18
O4339,O65431,79
O77524,O25862,4
O9186,O66259,77
O71288,O95367,95
O69749,O94630,66
O20423,O33240,35
O50052,O81836,94
O48581,O61893,47
O39548,O66450,96
O22416,O71541,61
O10568,O83531,15
O8371,O4,22
O96207,O74531,54
O68777,O31890,47
O98102,O49263,50
O12700,O79891,16
O96334,O29101,46
O41465,O67981,19
O1814,O68202,19
O80003,O39375,22
O22499,O92690,71
O67515,O48057,78
O94720,O37451,76
O27313,O6766,46
O6711,O92469,74
O91454,O4348,11
O24130,O12089,60
O61397,O27868,94
O37096,O20002,65
O2648,O48348,82
O28727,O19018,57
O64267,O1828,18
O29928,O78659,66
O42942,O96633,41
O18206,O13350,88
O43019,O32558,44
O79473,O58149,70
